"","ref","ZIP.code","Latitude","Longitude","Population","People.Squared.Mile","National.Ranking"
"1","1.","10162","40769298","-73949942","1.726","151,834.77","#1"
"2","2.","10028","40776865","-73954721","44.987","126,067.69","#2"
"3","3.","10128","40781656","-73950281","59.856","122,356.52","#3"
"4","4.","10031","40825857","-73949451","60.221","101,100.03","#5"
"5","5.","10009","40726622","-73978955","58.595","100,687.04","#6"
"6","6.","10032","40839194","-73942591","63.842","97,879.45","#7"
"7","7.","10016","40744983","-73978262","51.217","93,367.31","#9"
"8","8.","10003","40731856","-73989145","53.673","93,255.87","#10"
"9","9.","10002","40715952","-73985870","84.87","91,610.40","#11"
"10","10.","10026","40802320","-73952943","30.377","91,152.04","#12"
"11","11.","10023","40775394","-73982197","62.206","90,007.70","#13"
"12","12.","10025","40797958","-73964917","97.086","88,306.24","#14"
"13","13.","10030","40818492","-73943283","25.847","85,824.24","#16"
"14","14.","10021","40769742","-73961653","102.078","82,704.42","#17"
"15","15.","10029","40792245","-73945230","75.39","80,506.67","#19"
"16","16.","10012","40725639","-73998090","26","80,124.51","#20"
"17","17.","10033","40849124","-73935956","58.259","78,867.63","#21"
"18","18.","10040","40858134","-73929031","46.599","75,283.14","#22"
"19","19.","10011","40741844","-74000711","46.669","71,113.64","#25"
"20","20.","10039","40826296","-73937053","21.737","70,988.68","#26"
"21","21.","10010","40739122","-73982363","26.408","70,827.70","#28"
"22","22.","10022","40758615","-73967752","30.642","68,953.71","#30"
"23","23.","10037","40813159","-73937352","16.984","65,200.97","#31"
"24","24.","10024","40786307","-73970694","61.414","58,433.71","#38"
"25","25.","10014","40733471","-74007098","32.667","57,977.33","#39"
"26","26.","10038","40709336","-74002943","15.574","55,019.61","#45"
"27","27.","10027","40811407","-73953564","56.168","55,006.21","#46"
"28","28.","10017","40752292","-73972393","16.201","49,391.49","#53"
"29","29.","10019","40766331","-73985013","36.012","48,230.17","#59"
"30","30.","10034","40869208","-73921929","41.756","47,051.23","#62"
"31","31.","10013","40720067","-74004829","25.042","45,458.99","#68"
"32","32.","10280","40708501","-74016828","6.614","44,080.87","#73"
"33","33.","10044","40762050","-73949933","9.52","39,391.64","#78"
"34","34.","10036","40759614","-73991148","18.751","36,429.01","#90"
"35","35.","10001","40750722","-73997276","17.31","26,111.88","#137"
"36","36.","10035","40795487","-73929501","32.702","23,818.08","#154"
"37","37.","10282","40717017","-74015566","1.574","22,144.94","#169"
"38","38.","10006","40707970","-74013610","1.447","21,409.87","#185"
"39","39.","10069","40775551","-73989689","1.403","20,318.57","#204"
"40","40.","10007","40713973","-74008336","3.522","19,229.09","#228"
"41","41.","10018","40754969","-73992126","4.255","14,250.83","#362"
"42","42.","10005","40705390","-74008988","884","11,701.01","#474"
"43","43.","10004","40691870","-74014109","1.225","2,162.99","#4,213"
"44","44.","10048","40711665","-74012417","55","1,601.72","#5,079"
"45","45.","10165","40752131","-73978722","7","1,388.41","#5,455"
"46","46.","10171","40755899","-73973858","1","207.69","#10,932"
"47","47.","10170","40752625","-73975877","1","103.92","#13,864"
"48","48.","10020","40758236","-73978833","1","36.19","#20,319"
