"","zip","Median_sales_price","Price_sqft"
"1",10001,1687500,2074
"2",10002,875000,1216
"3",10003,2395000,1837
"4",10004,1260000,1450
"5",10005,1513779,1404
"6",10006,749000,1276
"7",10007,2120000,1759
"8",10009,1002500,1374
"9",10010,1700000,1801
"10",10011,1790000,1900
"11",10012,1017237,1991
"12",10013,2897500,1745
"13",10014,1625000,2009
"14",10016,1065000,1347
"15",10017,825000,1355
"16",10018,1390000,1735
"17",10019,997000,1464
"18",10021,980000,1427
"19",10022,1850000,1409
"20",10023,1697500,1765
"21",10024,977000,1493
"22",10025,999000,1340
"23",10026,925000,1023
"24",10027,1039500,962
"25",10028,2147500,1478
"26",10029,714250,938
"27",10030,574500,717
"28",10031,720000,662
"29",10032,882984,515
"30",10033,505000,614
"31",10034,475000,569
"32",10035,901697,830
"33",10036,1180000,1552
"34",10037,4e+05,811
"35",10038,1022500,1196
"36",10039,739500,924
"37",10044,1350000,1202
"38",10065,1564500,1599
"39",10069,1790000,1664
"40",10075,1082000,1346
"41",10128,1200000,1298
"42",10280,806500,1176
"43",10282,3200000,1705
